Id,LastName,FirstName,Title,Email,Tel,Url,Research
6042511,Raulino,Jacelyn,Associate Professor,Jacelyn.Raulino@shit.ac.nz,+64 27 6720560,https://www.shit.ac.nz/people/Jacelyn-Raulino/,"Human Computer Interaction, Graphics and Visualization, Bioinformatics, Software Architectures, Geographical Information Systems"
6446641,Paysour,Maya,Associate Professor,Maya.Paysour@shit.ac.nz,+64 27 3139090,https://www.shit.ac.nz/people/Maya-Paysour/,"Software Architectures, Unconventional Computing, Graphics and Visualization, Cloud Computing, Geographical Information Systems"
6600437,Finklea,Jamey,Dr,Jamey.Finklea@shit.ac.nz,+64 27 9353698,https://www.shit.ac.nz/people/Jamey-Finklea/,"Machine Learning, Cybersecurity, Digital Security, Graphics and Visualization, Immersive Computing"
6984120,Bartgis,Giovanni,Professor,Giovanni.Bartgis@shit.ac.nz,+64 27 5710493,https://www.shit.ac.nz/people/Giovanni-Bartgis/,"High Performance Computing, Bioinformatics, Cloud Computing, Computer Networks"
7137538,Urdiano,Blondell,Associate Professor,Blondell.Urdiano@shit.ac.nz,+64 27 7241488,https://www.shit.ac.nz/people/Blondell-Urdiano/,"Artificial Intelligence, Robotics, Cloud Computing, Immersive Computing"
7181360,Engblom,Pierre,Associate Professor,Pierre.Engblom@shit.ac.nz,+64 27 8895741,https://www.shit.ac.nz/people/Pierre-Engblom/,"Parallel Computing, Social Computing, Artificial Intelligence, Machine Learning"
7247480,Catmull,Clemente,Associate Professor,Clemente.Catmull@shit.ac.nz,+64 27 1388617,https://www.shit.ac.nz/people/Clemente-Catmull/,"Data Science, Compiler Optimization, Databases"
7344559,Leclair,Slyvia,Professor,Slyvia.Leclair@shit.ac.nz,+64 27 3471476,https://www.shit.ac.nz/people/Slyvia-Leclair/,"Computing Education, Data Mining, Social Computing, Performance Modelling, Cloud Computing"
7441093,Azoulay,Adah,Professor,Adah.Azoulay@shit.ac.nz,+64 27 5768140,https://www.shit.ac.nz/people/Adah-Azoulay/,"Unconventional Computing, Digital Security, Machine Learning"
7477678,Goodger,Jennefer,Associate Professor,Jennefer.Goodger@shit.ac.nz,+64 27 6312251,https://www.shit.ac.nz/people/Jennefer-Goodger/,"Mobile and Internet Applications, Unconventional Computing, Immersive Computing"
7731922,Hanegan,Buck,Professor,Buck.Hanegan@shit.ac.nz,+64 27 8191335,https://www.shit.ac.nz/people/Buck-Hanegan/,"Computer Networks, Geographical Information Systems, Unconventional Computing"
8004097,Arakaki,Annetta,Dr,Annetta.Arakaki@shit.ac.nz,+64 27 3510906,https://www.shit.ac.nz/people/Annetta-Arakaki/,"Artificial Intelligence, Bioinformatics, Digital Security, Unconventional Computing, Cloud Computing"
8090113,Zavacky,Sherwood,Professor,Sherwood.Zavacky@shit.ac.nz,+64 27 9792988,https://www.shit.ac.nz/people/Sherwood-Zavacky/,"Mobile and Internet Applications, Bioinformatics, Theoretical Foundations, Parallel Computing, Computer Networks"
8116996,Vencill,Gerald,Professor,Gerald.Vencill@shit.ac.nz,+64 27 3726392,https://www.shit.ac.nz/people/Gerald-Vencill/,"Performance Modelling, Machine Learning, Robotics, Data Mining, Programming Languages"
8170547,Kuzniar,Lyda,Associate Professor,Lyda.Kuzniar@shit.ac.nz,+64 27 6517012,https://www.shit.ac.nz/people/Lyda-Kuzniar/,"Digital Security, Computing Education, Performance Modelling"
8170570,Lievens,Brendon,Associate Professor,Brendon.Lievens@shit.ac.nz,+64 27 1318132,https://www.shit.ac.nz/people/Brendon-Lievens/,"Parallel Computing, Data Mining, Human Computer Interaction, Computational Biology"
8273708,Gallion,Luther,Dr,Luther.Gallion@shit.ac.nz,+64 27 5820019,https://www.shit.ac.nz/people/Luther-Gallion/,"High Performance Computing, Software Architectures, Human Computer Interaction, Immersive Computing, Cybersecurity"
8348490,Mattila,Bonita,Dr,Bonita.Mattila@shit.ac.nz,+64 27 2721230,https://www.shit.ac.nz/people/Bonita-Mattila/,"Unconventional Computing, Data Mining, Mobile and Internet Applications, Computing Education"
8443765,Werling,Danilo,Associate Professor,Danilo.Werling@shit.ac.nz,+64 27 4340609,https://www.shit.ac.nz/people/Danilo-Werling/,"Mobile and Internet Applications, Software Engineering, Data Science"
8570551,Cameron,Dulce,Dr,Dulce.Cameron@shit.ac.nz,+64 27 9898946,https://www.shit.ac.nz/people/Dulce-Cameron/,"Computer Architecture, Immersive Computing, Geographical Information Systems"
9131738,Forkner,Delinda,Associate Professor,Delinda.Forkner@shit.ac.nz,+64 27 5484758,https://www.shit.ac.nz/people/Delinda-Forkner/,"Data Science, Computer Networks, Mobile and Internet Applications, Cybersecurity"
9168372,Cargill,Song,Associate Professor,Song.Cargill@shit.ac.nz,+64 27 1418362,https://www.shit.ac.nz/people/Song-Cargill/,"Digital Security, Computer Networks, Human Computer Interaction"
9211942,Mcbrien,Petra,Associate Professor,Petra.Mcbrien@shit.ac.nz,+64 27 5852694,https://www.shit.ac.nz/people/Petra-Mcbrien/,"Immersive Computing, Data Mining, Programming Languages, Computer Architecture"
9430868,Salizar,Julieann,Dr,Julieann.Salizar@shit.ac.nz,+64 27 3983396,https://www.shit.ac.nz/people/Julieann-Salizar/,"Software Engineering, Graphics and Visualization, Digital Security, Computational Biology, Parallel Computing"
9446189,Spearow,Darcy,Professor,Darcy.Spearow@shit.ac.nz,+64 27 1403920,https://www.shit.ac.nz/people/Darcy-Spearow/,"Data Mining, High Performance Computing, Geographical Information Systems, Computing Education, Artificial Intelligence"
9501716,Savelli,Tenesha,Associate Professor,Tenesha.Savelli@shit.ac.nz,+64 27 8696725,https://www.shit.ac.nz/people/Tenesha-Savelli/,"Data Mining, Artificial Intelligence, Programming Languages"
9798220,Saelens,Emma,Associate Professor,Emma.Saelens@shit.ac.nz,+64 27 1758191,https://www.shit.ac.nz/people/Emma-Saelens/,"Computer Architecture, Digital Security, Geographical Information Systems, Cloud Computing"
9937258,Walrond,Kandis,Associate Professor,Kandis.Walrond@shit.ac.nz,+64 27 2641112,https://www.shit.ac.nz/people/Kandis-Walrond/,"High Performance Computing, Cybersecurity, Programming Languages, Data Science, Digital Security"
